Scientific name | Common name | Brief descriptor
Homo sapiens | Human | Tool-using bipedal great ape with cumulative culture
Pan troglodytes | Chimpanzee | Highly social African ape and close human relative
Pan paniscus | Bonobo | Matriarchal great ape known for social bonding
Gorilla gorilla | Western gorilla | Massive forest-dwelling African great ape
Pongo pygmaeus | Bornean orangutan | Arboreal red-haired great ape of Borneo
Hylobates lar | Lar gibbon | Fast-swinging lesser ape with loud duet calls
Macaca mulatta | Rhesus macaque | Adaptable Old World monkey widely used in research
Papio anubis | Olive baboon | Terrestrial troop-living African monkey
Mandrillus sphinx | Mandrill | Colorful and powerfully built rainforest monkey
Nasalis larvatus | Proboscis monkey | Long-nosed mangrove monkey and strong swimmer
Cebus capucinus | White-faced capuchin | Intelligent tool-using New World monkey
Ateles geoffroyi | Geoffroy's spider monkey | Long-limbed canopy specialist with prehensile tail
Alouatta seniculus | Red howler monkey | Loud-voiced leaf-eating South American primate
Callithrix jacchus | Common marmoset | Tiny clawed monkey that feeds on tree gums
Daubentonia madagascariensis | Aye-aye | Nocturnal lemur with elongated tapping finger
Lemur catta | Ring-tailed lemur | Social terrestrial lemur with striped tail
Indri indri | Indri | Large tailless lemur famous for haunting songs
Loris tardigradus | Red slender loris | Slow nocturnal primate specialized for insects
Tarsius tarsier | Spectral tarsier | Huge-eyed leaping primate of Southeast Asia
Galeopterus variegatus | Sunda colugo | Gliding mammal and close primate relative
Canis lupus | Gray wolf | Cooperative pack-hunting wild canid
Canis lupus familiaris | Domestic dog | Domesticated canid diversified into hundreds of breeds
Vulpes vulpes | Red fox | Widespread adaptable small canid
Lycaon pictus | African wild dog | Endurance-hunting canid with highly coordinated packs
Ursus arctos | Brown bear | Large omnivorous bear including grizzly populations
Ursus maritimus | Polar bear | Arctic marine bear specialized for hunting seals
Ailuropoda melanoleuca | Giant panda | Bamboo-specialist bear with enlarged wrist bone
Procyon lotor | Raccoon | Dexterous nocturnal omnivore thriving near humans
Mustela putorius furo | Domestic ferret | Domesticated mustelid used for hunting and companionship
Gulo gulo | Wolverine | Powerful cold-adapted mustelid with outsized strength
Lutra lutra | Eurasian otter | Semiaquatic mustelid adapted for river hunting
Enhydra lutris | Sea otter | Tool-using marine mustelid and kelp-forest keystone
Mephitis mephitis | Striped skunk | Black-and-white carnivore with defensive scent spray
Felis catus | Domestic cat | Domesticated small feline and efficient ambush predator
